Year,State,Population
1988,NH,1082000
1992,NH,1112000
1996,NH,1160000
2000,NH,1239000
2004,NH,1290000
2008,NH,1315000
2012,NH,1324000
2016,NH,1343000
2020,NH,1377000
1976,NJ,7339000
1980,NJ,7376000
1984,NJ,7515000
1988,NJ,7712000
1992,NJ,7827000
1996,NJ,8009000
2000,NJ,8430000
2004,NJ,8634000
2008,NJ,8711000
2012,NJ,8845000
2016,NJ,8873000
2020,NJ,9279000
1976,NM,1189000
1980,NM,1309000
1984,NM,1416000
1988,NM,1490000
1992,NM,1580000
1996,NM,1706000
2000,NM,1821000
2004,NM,1903000
2008,NM,2010000
2012,NM,2087000
2016,NM,2092000
2020,NM,2117000
1976,NV,646000
1980,NV,810000
1984,NV,924000
1988,NV,1075000
1992,NV,1330000
1996,NV,1596000
2000,NV,2018000
2004,NV,2346000
2008,NV,2653000
2012,NV,2744000
2016,NV,2919000
2020,NV,3114000
1976,NY,17940000
1980,NY,17566000
1984,NY,17745000
1988,NY,17941000
1992,NY,18082000
1996,NY,18143000
2000,NY,19001000
2004,NY,19171000
2008,NY,19212000
2012,NY,19574000
2016,NY,19636000
2020,NY,20154000
1976,OH,10752000
1980,OH,10800000
1984,OH,10737000
1988,OH,10798000
1992,OH,11007000
1996,OH,11187000
2000,OH,11363000
2004,OH,11452000
2008,OH,11515000
2012,OH,11550000
2016,OH,11640000
2020,OH,11790000
1976,OK,2826000
1980,OK,3040000
1984,OK,3285000
1988,OK,3167000
1992,OK,3204000
1996,OK,3289000
2000,OK,3454000
2004,OK,3525000
2008,OK,3668000
2012,OK,3819000
2016,OK,3928000
2020,OK,3962000
1976,OR,2378000
1980,OR,2641000
1984,OR,2666000
1988,OR,2741000
1992,OR,2973000
1996,OR,3195000
2000,OR,3429000
2004,OR,3569000
2008,OR,3768000
2012,OR,3900000
2016,OR,4093000
2020,OR,4241000
1976,PA,11897000
1980,PA,11868000
1984,PA,11815000
1988,PA,11845000
1992,PA,11980000
1996,PA,12038000
2000,PA,12284000
2004,PA,12410000
2008,PA,12612000
2012,PA,12769000
2016,PA,12788000
2020,PA,12989000
1976,RI,946000
1980,RI,948000
1984,RI,961000
1988,RI,996000
1992,RI,1000000
1996,RI,987000
2000,RI,1050000
2004,RI,1074000
2008,RI,1055000
2012,RI,1054000
2016,RI,1057000
2020,RI,1096000
1976,SC,2943000
1980,SC,3134000
1984,SC,3271000
1988,SC,3412000
1992,SC,3600000
1996,SC,3738000
2000,SC,4024000
2004,SC,4210000
2008,SC,4528000
2012,SC,4719000
2016,SC,4963000
2020,SC,5130000
1976,SD,686000
1980,SD,690000
1984,SD,697000
1988,SD,698000
1992,SD,708000
1996,SD,730000
2000,SD,755000
2004,SD,770000
2008,SD,799000
2012,SD,833000
2016,SD,863000
2020,SD,887000
1976,TN,4346000
1980,TN,4600000
1984,TN,4686000
1988,TN,4822000
1992,TN,5013000
1996,TN,5313000
2000,TN,5703000
2004,TN,5910000
2008,TN,6247000
2012,TN,6455000
2016,TN,6651000
2020,TN,6920000
1976,TX,12904000
1980,TX,14338000
1984,TX,16007000
1988,TX,16667000
1992,TX,17650000
1996,TX,19006000
2000,TX,20944000
2004,TX,22394000
2008,TX,24309000
2012,TX,26084000
2016,TX,27914000
2020,TX,29217000
1976,UT,1274000
1980,UT,1472000
1984,UT,1622000
1988,UT,1689000
1992,UT,1821000
1996,UT,2022000
2000,UT,2244000
2004,UT,2401000
2008,UT,2663000
2012,UT,2854000
2016,UT,3044000
2020,UT,3281000
1976,VA,5121000
1980,VA,5368000
1984,VA,5643000
1988,VA,6036000
1992,VA,6383000
1996,VA,6665000
2000,VA,7105000
2004,VA,7475000
2008,VA,7833000
2012,VA,8187000
2016,VA,8417000
2020,VA,8632000
1976,VT,484000
1980,VT,512000
1984,VT,526000
1988,VT,549000
1992,VT,570000
1996,VT,586000
2000,VT,609000
2004,VT,619000
2008,VT,624000
2012,VT,626000
2016,VT,624000
2020,VT,642000
1976,WA,3693000
1980,WA,4154000
1984,WA,4343000
1988,WA,4639000
1992,WA,5139000
1996,WA,5509000
2000,WA,5910000
2004,WA,6178000
2008,WA,6562000
2012,WA,6898000
2016,WA,7299000
2020,WA,7718000
1976,WI,4595000
1980,WI,4712000
1984,WI,4735000
1988,WI,4822000
1992,WI,5004000
1996,WI,5173000
2000,WI,5373000
2004,WI,5514000
2008,WI,5640000
2012,WI,5720000
2016,WI,5775000
2020,WI,5892000
1976,WV,1879000
1980,WV,1951000
1984,WV,1927000
1988,WV,1830000
1992,WV,1805000
1996,WV,1818000
2000,WV,1807000
2004,WV,1816000
2008,WV,1840000
2012,WV,1857000
2016,WV,1832000
2020,WV,1789000
1976,WY,396000
1980,WY,474000
1984,WY,504000
1988,WY,465000
1992,WY,463000
1996,WY,480000
2000,WY,494000
2004,WY,509000
2008,WY,546000
2012,WY,576000
2016,WY,585000
2020,WY,577000
